City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
97,Lagoa,PT,70.0,overcast clouds,39.05,-27.9833,Casa Das Faias
99,Arraial Do Cabo,BR,73.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
100,Cabo San Lucas,MX,89.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
101,Cozumel,MX,84.0,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
103,Cairns,AU,73.35,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
105,Almunecar,ES,74.88,scattered clouds,36.7339,-3.6907,Almuñécar Playa Spa Hotel
110,Corn Island,NI,82.45,overcast clouds,12.1694,-83.0418,Big Fish Guest House
111,Pitimbu,BR,79.36,clear sky,-7.4706,-34.8086,Reserva do Abiaí
113,Faanui,PF,78.15,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
115,Butaritari,KI,82.53,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
116,Saint-Philippe,RE,71.15,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
117,Chibombo,ZM,76.01,clear sky,-14.6569,28.0706,Chibombo District Council Guest House
119,Maningrida,AU,79.9,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
121,Chuy,UY,71.24,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
122,Sao Miguel,BR,83.17,scattered clouds,-5.4667,-35.3667,Maracajaú Reef
128,Laguna,US,74.23,few clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
129,Port-Gentil,GA,77.11,heavy intensity rain,-0.7193,8.7815,Fengshui Residence
130,Mananjary,MG,71.04,overcast clouds,-21.2167,48.3333,Vahiny Lodge
133,Lazaro Cardenas,MX,83.84,clear sky,17.9583,-102.2,quinta antigua
135,Bintulu,MY,77.58,overcast clouds,3.1667,113.0333,900 Boutique INN
136,Saint George,US,81.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
138,Isangel,VU,77.4,clear sky,-19.55,169.2667,Tanna Lodge
139,Japura,ID,74.17,few clouds,-0.3167,102.35,Rumah mbah Jamah
143,Pandamatenga,BW,79.07,light rain,-18.5278,25.627,Wildtrack Safaris Eco Lodge
145,Bonthe,SL,75.87,light rain,7.5264,-12.505,Bonthe Holiday Village
147,Bandarbeyla,SO,79.09,light rain,9.4942,50.8122,JABIR HOTEL
149,Los Angeles,US,84.78,haze,34.0522,-118.2437,Kawada Hotel
151,Kombissiri,BF,87.31,few clouds,12.0656,-1.3375,Mitibkieta Annexe
152,Batticaloa,LK,78.49,overcast clouds,7.7102,81.6924,Grand Star Guest House
153,Inhambane,MZ,71.33,clear sky,-23.865,35.3833,Oceano
154,Caravelas,BR,75.99,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
160,Victoria,HK,75.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
162,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
168,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
170,Bambous Virieux,MU,71.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
171,Tsabong,BW,73.8,clear sky,-26.0217,22.401,Springbok Motel
173,Deogarh,IN,72.68,overcast clouds,21.5333,84.7333,Amit Henej House
174,Ponta Do Sol,PT,73.71,scattered clouds,32.6667,-17.1,Hotel do Campo
180,Honiara,SB,79.77,broken clouds,-9.4333,159.95,Heritage Park Hotel
186,Hit,IQ,80.49,overcast clouds,33.6416,42.8251,صالون زيرو
189,Mahanoro,MG,70.97,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
191,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
192,Zaraza,VE,80.04,overcast clouds,9.3503,-65.3245,Hotel Zaraza
195,Buchanan,LR,76.96,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
197,Ribeira Grande,PT,70.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
200,Lorengau,PG,81.63,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
202,Minuri,PH,70.11,scattered clouds,16.535,121.8574,
203,Buala,SB,81.07,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
