City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Lazaro Cardenas,MX,17.9583,-102.2,83.84,69,0,6.04,clear sky
134,Codrington,AU,-38.2667,141.9667,41.32,95,3,8.1,clear sky
135,Bintulu,MY,3.1667,113.0333,77.58,88,100,3.11,overcast clouds
136,Saint George,US,37.1041,-113.5841,81.07,35,1,1.99,clear sky
137,Russell,US,32.3502,-85.1999,58.98,73,90,10.36,overcast clouds
138,Isangel,VU,-19.55,169.2667,77.4,75,0,4.5,clear sky
139,Japura,ID,-0.3167,102.35,74.17,97,21,1.57,few clouds
140,Tignere,CM,7.3667,12.65,67.86,85,64,1.52,light rain
141,Fethiye,TR,36.6217,29.1164,64.27,67,100,3.18,overcast clouds
142,Geraldton,AU,-28.7667,114.6,52.21,82,0,9.22,clear sky
143,Pandamatenga,BW,-18.5278,25.627,79.07,45,71,2.82,light rain
144,Saldanha,ZA,-33.0117,17.9442,61.59,88,54,13.22,broken clouds
145,Bonthe,SL,7.5264,-12.505,75.87,89,100,5.3,light rain
146,Namibe,AO,-15.1961,12.1522,68.25,73,84,8.01,broken clouds
147,Bandarbeyla,SO,9.4942,50.8122,79.09,77,76,12.35,light rain
148,Rawson,AR,-43.3002,-65.1023,51.08,63,79,27.47,broken clouds
149,Los Angeles,US,34.0522,-118.2437,84.78,65,1,1.99,haze
150,East London,ZA,-33.0153,27.9116,65.16,85,78,8.08,broken clouds
151,Kombissiri,BF,12.0656,-1.3375,87.31,26,19,5.86,few clouds
152,Batticaloa,LK,7.7102,81.6924,78.49,88,100,7.49,overcast clouds
153,Inhambane,MZ,-23.865,35.3833,71.33,72,0,9.75,clear sky
154,Caravelas,BR,-17.7125,-39.2481,75.99,81,98,7.65,overcast clouds
155,Zeya,RU,53.75,127.2667,21.97,46,0,0.49,clear sky
156,College,US,64.8569,-147.8028,41.32,66,75,4.61,broken clouds
157,Fairbanks,US,64.8378,-147.7164,41.34,72,20,6.91,few clouds
158,Leh,IN,34.1667,77.5833,25.09,57,3,3.69,clear sky
159,Westerland,DE,54.9079,8.3033,54.01,82,90,14.97,light rain
160,Victoria,HK,22.2855,114.1577,75.33,83,97,5.01,overcast clouds
161,Bar Harbor,US,44.3876,-68.2039,56.37,78,75,12.66,broken clouds
162,Kuching,MY,1.55,110.3333,75.42,100,20,2.3,few clouds
163,Kohat,PK,33.582,71.4493,67.98,36,0,4.12,clear sky
164,Zhuanghe,CN,39.7008,122.9911,51.66,85,38,5.77,scattered clouds
165,Tsiroanomandidy,MG,-18.7667,46.0333,68.77,66,4,4.47,clear sky
166,Necochea,AR,-38.5473,-58.7368,58.03,75,100,20.51,moderate rain
167,Camacha,PT,33.0833,-16.3333,69.22,88,40,9.22,scattered clouds
168,Saint-Pierre,RE,-21.3393,55.4781,71.24,79,0,5.75,clear sky
